Marca temporal,"¿De estos grupos de colores, cuales son los colores primarios?",¿Cuál de estos no es continente?,¿Cuál de estos no es un sentido humano?,¿Cuál es el océano mas grande del mundo?,¿Quién es el autor de ‘Don Quijote de la Mancha’?,¿Cuándo se celebra el natalicio de Ramon Matías Mella (Padre de la patria dominicano),¿A cuánto equivale el número Pi aproximadamente?,¿En qué año llegaron los colonizadores españoles a América?,¿Cuál es el país mas grande del mundo?,¿Qué país tiene mas habitantes?,¿Cómo se llama el fundador de Facebook?,¿Cómo se llama el fundador de Microsoft?,¿Cuál es el resultado de la operación 2 * 1 + 3 * 4 ?,¿Cuál es el país más grande(a nivel de extensión territorial) de América?,¿Cómo surge los Estados Unidos?,¿Cuál de estos países tiene mas inmigrantes(personas que nacieron o proceden de otro lugar)? ,¿Quién era el general de los Nazis en la Segunda Guerra Mundial?,¿Cuándo es el natalicio de juan pablo duarte(Padre de la patria dominicano),¿Cuál es la capital de México?,¿Cuál es el resultado de dividir 100 entre 50?
12/3/2021 21:16:35,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,26,Brazil,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:16:49,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:17:29,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:18:05,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:18:17,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:20:04,"El gris, blanco y negro",Mongolitis,La suerte,El océano atlántico,William Shakespeare,25 de febrero,3.1416,1490,Rusia,Rusia,Mark Zuckerberg,Steve Jobs,24,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Guadalajara,2
12/3/2021 21:20:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:20:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,26 de enero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,27 de febrero,Ciudad de Mexico,1
12/3/2021 21:24:24,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:24:28,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:29:04,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:45:01,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 21:59:35,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,Rusia,Mark Zuckerberg,Bill Gates,24,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:09:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:12:21,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:28:02,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1490,Rusia,Rusia,Mark Zuckerberg,Bill Gates,26,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:28:34,"El gris, blanco y negro",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1501,China,China,Mark Zuckerberg,Mark Zuckerberg,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:30:09,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,Rusia,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:52:31,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 22:58:33,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 23:02:11,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 23:42:44,"El gris, blanco y negro",Mongolitis,El gusto,El océano atlántico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Brazil,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Mexico,Adolf Hitler,26 de enero,Guadalajara,2
12/3/2021 23:55:18,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 23:55:34,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 23:56:24,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 0:13:22,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 0:13:48,"El amarillo, azul y rojo",Mongolitis,la vista,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 0:30:47,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 0:54:36,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 1:21:36,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1501,Rusia,China,Steve Jobs,Mark Zuckerberg,14,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 1:35:25,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,4.1416,1492,Rusia,Rusia,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 6:57:58,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 7:52:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 8:20:21,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 9:01:46,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,26 de enero,3.1416,1490,China,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,27 de febrero,Ciudad de Mexico,2
13/3/2021 10:05:59,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Gabriel García Márquez,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 12:35:42,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 14:14:38,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 14:22:07,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
13/3/2021 14:36:09,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
13/3/2021 20:00:02,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
14/3/2021 1:29:38,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
14/3/2021 1:33:13,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Mexico,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
14/3/2021 11:41:28,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
14/3/2021 13:59:17,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
14/3/2021 19:52:49,"El amarillo, azul y rojo",América,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,5.1416,1490,China,China,Mark Zuckerberg,Mark Zuckerberg,24,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Benito Mussolini,27 de febrero,Guadalajara,2
15/3/2021 1:58:17,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,William Shakespeare,25 de febrero,3.1416,1490,China,China,Steve Jobs,Mark Zuckerberg,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
15/3/2021 12:28:47,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,1
18/3/2021 19:50:49,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
19/3/2021 14:13:51,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,26 de enero,5.1416,1501,China,China,Mark Zuckerberg,Steve Jobs,24,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Benito Mussolini,27 de febrero,SInaloa,2
23/3/2021 17:52:03,"Morado, rosa y violeta",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1501,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de febrero,Ciudad de Mexico,2
